date,slope,standard_error,lower_95,upper_95,r_squared,observations
1991-06-30,-0.687467837213341,0.09805316867387141,-0.879652047814129,-0.4952836266125531,0.5640029966992618,40
1991-09-30,-0.6881489796329107,0.10020426593503294,-0.8845493408655752,-0.4917486184002461,0.5537917706175122,40
1991-12-31,-0.6883484295015406,0.10373845918852143,-0.8916758095110426,-0.4850210494920386,0.5367481928748152,40
1992-03-31,-0.6657072954470952,0.10257481761748966,-0.8667539379773749,-0.46466065291681546,0.5257095746215767,40
1992-06-30,-0.6386913080847668,0.10450855961399716,-0.8435280849282012,-0.4338545312413324,0.4956797043319153,40
1992-09-30,-0.5915822840308909,0.10875025604529374,-0.8047327858796666,-0.37843178218211515,0.4378006975132912,40
1992-12-31,-0.5347351983794497,0.11963843009465594,-0.7692265213649754,-0.30024387539392405,0.34457072242590014,40
1993-03-31,-0.47607967817780217,0.13234399662793747,-0.7354739115685596,-0.2166854447870447,0.25403155047566084,40
1993-06-30,-0.44171726259688066,0.14899798857001648,-0.7337533201941129,-0.14968120499964838,0.1878392457788558,40
1993-09-30,-0.39019915927684173,0.16153279409816132,-0.7068034357092379,-0.07359488284444554,0.13311556946753134,40
1993-12-31,-0.41896326707797443,0.16875664102301177,-0.7497262834830776,-0.08820025067287135,0.13956170997998119,40
1994-03-31,-0.4999980150955675,0.16032523267535856,-0.8142354711392703,-0.18576055905186473,0.203787745110646,40
1994-06-30,-0.5353443567992141,0.15579850072160883,-0.8407094182135675,-0.22997929538486078,0.23705517680544297,40
1994-09-30,-0.5649614709779873,0.15359529797971022,-0.8660082550182193,-0.26391468693775527,0.2625583730652704,40
1994-12-31,-0.5720491232646696,0.15345632404295712,-0.8728235183888655,-0.27127472814047365,0.2677695802679094,40
1995-03-31,-0.565372817237809,0.15307495537484003,-0.8653997297724954,-0.2653459047031225,0.2641574509791881,40
1995-06-30,-0.5673792955255945,0.15438816218239884,-0.8699800934030962,-0.2647784976480928,0.26221841457954387,40
1995-09-30,-0.5597438258904301,0.15541291487441727,-0.864353139044288,-0.2551345127365723,0.2544915581663375,40
1995-12-31,-0.557778727573906,0.1560036150771386,-0.8635458131250977,-0.2520116420227143,0.2517275411997133,40
1996-03-31,-0.553433698844538,0.15647753978430842,-0.8601296768217825,-0.24673772086729345,0.24766080183781747,40
1996-06-30,-0.5153659219032924,0.15125260289996845,-0.8118210235872305,-0.21891082021935432,0.23402269937700304,40
1996-09-30,-0.49208172565965436,0.147503306383011,-0.7811882061703559,-0.20297524514895277,0.22653206375984258,40
1996-12-31,-0.478451298771385,0.14381078410142334,-0.7603204356101747,-0.19658216193259526,0.22557394171747414,40
1997-03-31,-0.47342928884605096,0.14355119611252792,-0.7547896332266057,-0.19206894446549622,0.22253322236496154,40
1997-06-30,-0.43726114021960155,0.13217945177366014,-0.6963328656959754,-0.1781894147432277,0.2235936059790935,40
1997-09-30,-0.38354869068794273,0.1203016854925389,-0.619339994253319,-0.14775738712256647,0.21104160841352237,40
1997-12-31,-0.3169114679609952,0.11359014564217501,-0.5395481534196582,-0.09427478250233215,0.17001305203021322,40
1998-03-31,-0.27205805749376766,0.11625234648203882,-0.49991265659856376,-0.04420345838897158,0.12596881962608775,40
1998-06-30,-0.25203409044585295,0.11582507475997397,-0.479051236975402,-0.025016943916303963,0.11079761677693167,40
1998-09-30,-0.241587055022608,0.11523304843050965,-0.4674438299464069,-0.015730280098809085,0.10367523247348376,40
1998-12-31,-0.22892918552078606,0.11442865291176688,-0.45320934522784917,-0.004649025813722979,0.09529222781138702,40
1999-03-31,-0.2123430403315381,0.1123142399849592,-0.4324789507020581,0.007792870038981908,0.08597657617331544,40
1999-06-30,-0.20291750101397593,0.10878260715315717,-0.41613141103416396,0.01029640900621212,0.0838853844611479,40
1999-09-30,-0.2213333682949723,0.10847399904043657,-0.433942406414228,-0.00872433017571661,0.09874325007111906,40
1999-12-31,-0.2478376030939736,0.1070964734766673,-0.4577466911082415,-0.03792851507970568,0.12352129395247269,40
2000-03-31,-0.27515970243377835,0.10693383463864278,-0.48475001832551823,-0.0655693865420385,0.14838764353615952,40
2000-06-30,-0.30196437516350355,0.10418716178051397,-0.506171212253311,-0.09775753807369617,0.18103575193831678,40
2000-09-30,-0.30562758150157704,0.09959242511573083,-0.5008287347284095,-0.11042642827474464,0.19860695262824024,40
2000-12-31,-0.3102635393956631,0.08924635255256673,-0.4851863903986939,-0.1353406883926323,0.24130408856201502,40
2001-03-31,-0.30948221755441657,0.08841331112117047,-0.4827723073519107,-0.13619212775692247,0.24382354588622557,40
2001-06-30,-0.3011767704207376,0.08875465130479995,-0.47513588697814546,-0.1272176538633297,0.23255445863170188,40
2001-09-30,-0.2604437023151524,0.08618379139187873,-0.42936393344323476,-0.09152347118707008,0.19375753537305718,40
2001-12-31,-0.20982018932178853,0.08201266242510838,-0.37056500767500095,-0.049075370968576115,0.14693673093403303,40
2002-03-31,-0.18837140921782497,0.08973635753426988,-0.3642546699849939,-0.012488148450656017,0.10391081225125187,40
2002-06-30,-0.1985488197942567,0.0966378084297852,-0.3879589243166357,-0.009138715271877706,0.09997915180906003,40
2002-09-30,-0.22575888307602862,0.10214916897081494,-0.42597125425882587,-0.025546511893231344,0.1138989393211507,40
2002-12-31,-0.236478165812112,0.11061101806210613,-0.45327576121384006,-0.019680570410383985,0.1073678475394052,40
2003-03-31,-0.21643733290546674,0.12639915074872712,-0.46417966837297187,0.031305002562038414,0.07163284583563612,40
2003-06-30,-0.23217090650669647,0.12948275118757333,-0.4859570988343402,0.02161528582094724,0.07800736569659461,40
2003-09-30,-0.2179061990850212,0.13149690899874816,-0.47564014072256755,0.039827742552525164,0.06739421089053932,40
2003-12-31,-0.22441164684370532,0.1339022959740864,-0.4868601469529147,0.03803685326550402,0.06882739493050594,40
2004-03-31,-0.22722364410365792,0.1370122350934203,-0.49576762488676174,0.0413203366794459,0.06749272616271107,40
2004-06-30,-0.18648282193663593,0.14205529905824166,-0.46491120809078956,0.09194556421751773,0.04338278063912837,40
2004-09-30,-0.18454239085118063,0.14373601122638294,-0.46626497285489116,0.0971801911525299,0.04157531078363552,40
2004-12-31,-0.15602136560771365,0.14933794390320246,-0.4487237356579905,0.13668100444256318,0.027921925586815277,40
2005-03-31,-0.15084989242898283,0.14942783377152696,-0.44372844662117567,0.14202866176321,0.02611857592003297,40
2005-06-30,-0.16033196871397098,0.14889172391526515,-0.4521597475878907,0.1314958101599487,0.029611551000714553,40
2005-09-30,-0.15650759022746788,0.1523389153999712,-0.45509186441141136,0.14207668395647563,0.02702508917995572,40
2005-12-31,-0.15313805150774196,0.15320874529715062,-0.45342719229015715,0.14715108927467324,0.025617974514715036,40
2006-03-31,-0.15527106999623566,0.15375869647987644,-0.45663811509679353,0.14609597510432218,0.026134670136123583,40
2006-06-30,-0.1600661650630129,0.15424650231376005,-0.46238930959798263,0.1422569794719568,0.02755805220163776,40
2006-09-30,-0.15335739177337313,0.15518525376105682,-0.4575204891450445,0.15080570559829823,0.025055598380430144,40
2006-12-31,-0.11563846230820057,0.16720067954529827,-0.4433517942169852,0.21207486960058403,0.01243117880875133,40
2007-03-31,-0.09961432952593552,0.16946185717843124,-0.43175956959566075,0.23253091054378972,0.00901124585109192,40
2007-06-30,-0.09657978844459647,0.16740698936661408,-0.42469748760316006,0.23153791071396712,0.008682692471920661,40
2007-09-30,-0.09961374625546815,0.1660449389070951,-0.42506182651337454,0.22583433400243824,0.009382309257229049,40
2007-12-31,-0.121741232127957,0.1745441244890856,-0.4638477161265648,0.22036525187065076,0.012640280932503023,40
2008-03-31,-0.13484618465079198,0.17697883965307634,-0.48172471037082165,0.21203234106923766,0.015047567486552338,40
2008-06-30,-0.1336819513217958,0.1800533272680354,-0.4865864727671452,0.2192225701235536,0.014298973527077874,40
2008-09-30,-0.0630219447851364,0.1836053134334831,-0.42288835911476325,0.29684446954449045,0.003090900854057388,40
2008-12-31,-0.3086971110614759,0.1921513193919336,-0.6853136970696658,0.06791947494671396,0.06359987402681744,40
2009-03-31,-0.6206010623561024,0.1768659317799915,-0.9672582886448857,-0.27394383606731904,0.24471641677594513,40
2009-06-30,-0.7157419045096027,0.14610685586506977,-1.0021113420051395,-0.429372467014066,0.3870751724218836,40
2009-09-30,-0.7049564087785957,0.12535529903138293,-0.9506527948801062,-0.4592600226770851,0.45422393816465645,40
2009-12-31,-0.4335368600400135,0.13645701078650585,-0.700992601181565,-0.16608111889846205,0.20987952335824545,40
2010-03-31,-0.22667518419984573,0.14235949420043228,-0.505699792832693,0.05234942443300156,0.06254625805859026,40
2010-06-30,-0.13404066443868612,0.1388565722421192,-0.40619954603323977,0.13811821715586753,0.023935106243572868,40
2010-09-30,-0.10369174547612856,0.13370520248265813,-0.36575394234213854,0.1583704513898814,0.015580746470223561,40
2010-12-31,-0.10086910600515464,0.12969684043850116,-0.35507491326461693,0.15333670125430765,0.015668070857077998,40
2011-03-31,-0.08116742799283028,0.12805748924732974,-0.33216010691759656,0.169825250931936,0.010461708418286197,40
2011-06-30,-0.04006909935470206,0.12909318219524615,-0.2930917364573845,0.2129535377479804,0.0025288861600711865,40
2011-09-30,-0.013238937014098716,0.1290712289062584,-0.26621854567036524,0.23974067164216778,0.00027678561927535483,40
2011-12-31,-0.011589880635060553,0.12637241771850086,-0.25927981936332223,0.23610005809320112,0.00022129602992326802,40
2012-03-31,-0.025979877822928436,0.1234035268808814,-0.267850790509456,0.2158910348635991,0.0011650088276592419,40
2012-06-30,-0.048041597558667125,0.12319019087699624,-0.28949437167757974,0.1934111765602455,0.003986248450090435,40
2012-09-30,-0.06208602805348042,0.12373221515111248,-0.30460116974966084,0.1804291136427,0.006582191629081913,40
2012-12-31,-0.0619190692186858,0.12333556755921772,-0.3036567816347525,0.17981864319738095,0.006588970244328474,40
2013-03-31,-0.05545084389903258,0.12199627459345891,-0.29456354210221203,0.1836618543041469,0.005407354338391013,40
2013-06-30,-0.057301000920360695,0.12197534304319314,-0.29637267328501926,0.18177067144429787,0.00577406688538995,40
2013-09-30,-0.05759923977079885,0.12209362794686386,-0.296902750546652,0.18170427100505432,0.005822744474100583,40
2013-12-31,-0.06086084822698389,0.12254428751692915,-0.301047651760165,0.17932595530619724,0.00644905976366561,40
2014-03-31,-0.06517265683679777,0.1229842460280601,-0.3062217790517956,0.17587646537820004,0.007335853090231881,40
2014-06-30,-0.06092997653808643,0.12361259341963907,-0.303210659640579,0.18135070656440613,0.006353090981547349,40
2014-09-30,-0.05753600829681195,0.12436238689404548,-0.3012862866091411,0.1862142700155172,0.005601165035279743,40
2014-12-31,-0.04287686862362318,0.1243061342484362,-0.2865168917505581,0.20076315450331178,0.0031211868534444243,40
2015-03-31,-0.023982835828574,0.12687948318829007,-0.27266662287762256,0.22470095122047454,0.0009393480218310435,40
2015-06-30,-0.013330775593238411,0.1286575884487626,-0.2654996489528131,0.23883809776633624,0.00028244490417395074,40
2015-09-30,0.0059270162427210995,0.12884997653145733,-0.24661893775893526,0.25847297024437743,5.5679556661525353e-05,40
2015-12-31,0.011439737322224884,0.12939483061673285,-0.24217413068657148,0.26505360533102124,0.00020564839961678683,40
2016-03-31,0.006521776878769903,0.13113438856374593,-0.2505016247061721,0.26354517846371195,6.508588556930484e-05,40
2016-06-30,0.0055562266760056595,0.13294963137719637,-0.25502505082329924,0.2661375041753105,4.59602177980134e-05,40
2016-09-30,-0.00852328916326607,0.13473300122597712,-0.2725999715661812,0.2555533932396491,0.00010530212765158531,40
2016-12-31,-0.05822791371863229,0.13522330205070987,-0.3232655857380236,0.20680975830075904,0.004855811289204093,40
2017-03-31,-0.09931023626766583,0.13707708357668535,-0.36798132007796913,0.16936084754263747,0.013624389378605328,40
2017-06-30,-0.11046813109796329,0.13783786232513845,-0.38063034125523465,0.1596940790593081,0.016621645025240994,40
2017-09-30,-0.1180226367876645,0.13807978022935874,-0.38865900603720765,0.15261373246187865,0.018863244800011225,40
2017-12-31,-0.08560251873548776,0.1359815907096458,-0.3521264365263935,0.18092139905541804,0.010321043104329575,40
2018-03-31,-0.06457467064672573,0.13366399176520266,-0.32655609450652295,0.1974067532130715,0.00610453598107441,40
2018-06-30,-0.06231714592768512,0.13105409071511315,-0.3191831637293069,0.19454887187393666,0.00591498810734814,40
2018-09-30,-0.05552160667156644,0.12584137316893368,-0.30217069808267644,0.19112748473954355,0.005096529031524466,40
2018-12-31,-0.05438070094810284,0.11676612966698889,-0.28324231509540104,0.17448091319919537,0.005675451241290652,40
2019-03-31,-0.0031051689373706396,0.10239285566504085,-0.2037951660408507,0.19758482816610942,2.4201208219221115e-05,40
2019-06-30,0.06900722684354418,0.08834383153048696,-0.10414668295621024,0.2421611366432986,0.015802842003271977,40
2019-09-30,0.14200941772544104,0.0755517332820292,-0.006071979507336206,0.2900908149582183,0.0850652092188251,40
2019-12-31,0.10691833003550244,0.07531649361722467,-0.04070199745425793,0.25453865752526283,0.05036152283111239,40
2020-03-31,0.04266590931552242,0.07037196321363416,-0.09526313858320054,0.18059495721424537,0.009580720421729971,40
2020-06-30,-0.0591558882637116,0.061479896428891914,-0.17965648526433975,0.06134470873691655,0.02378438140634409,40
2020-09-30,-0.06904573615252317,0.061407267923679246,-0.1894039812829345,0.05131250897788815,0.0321985883764746,40
2020-12-31,-0.06513068096197569,0.06296298157037282,-0.1885381248399064,0.05827676291595503,0.027387777619566123,40
2021-03-31,-0.07520103089470813,0.06433147695300978,-0.2012907257226073,0.05088866393319104,0.03471155385559732,40
2021-06-30,-0.10714662198522858,0.07709481580097516,-0.2582524609551399,0.043959216984682734,0.04837159595445817,40
2021-09-30,-0.1587370489857466,0.08351389987524833,-0.3224242927412333,0.004950194769740152,0.08681855573863018,40
2021-12-31,-0.2105795587459719,0.09409975014370547,-0.3950150690276346,-0.026144048464309178,0.11644135864643756,40
2022-03-31,-0.24440232161220712,0.1028920634666244,-0.44607076600679096,-0.04273387721762331,0.12928271643181333,40
2022-06-30,-0.24669745787015313,0.10536162174829379,-0.4532062364968089,-0.04018867924349731,0.12608160767977838,40
2022-09-30,-0.23306273186218254,0.10530665626041825,-0.4394637781326023,-0.026661685591762768,0.11418136604602991,40
2022-12-31,-0.20644838202755816,0.10831399094155965,-0.41874380427301505,0.005847040217898752,0.08726039045521583,40
2023-03-31,-0.1662843447890885,0.11717683980243243,-0.39595095080185605,0.06338226122367907,0.05032794821908326,40
2023-06-30,-0.11458863640140632,0.13112324327458846,-0.3715901932195997,0.14241292041678705,0.01970146378672022,40
2023-09-30,-0.07945745636267361,0.13981757253173166,-0.35349989852486763,0.19458498579952044,0.008427267496917024,40
2023-12-31,-0.054526190000034926,0.14424013717417797,-0.33723685886142374,0.22818447886135387,0.0037464877810915453,40
2024-03-31,-0.04483217181344848,0.1460654006978474,-0.33112035718122934,0.2414560135543324,0.0024730101884411493,40
2024-06-30,-0.04800379395379417,0.1464116873918505,-0.33497070124182116,0.2389631133342328,0.002820909807403349,40
2024-09-30,-0.04667740337205798,0.14740549312206258,-0.33559216989130064,0.24223736314718466,0.0026318306982281436,40
2024-12-31,-0.04148418597897598,0.14758601443930003,-0.330752774280004,0.24778440232205204,0.0020748614511432173,40
2025-03-31,-0.030217789440527675,0.1452434135345109,-0.314894879968169,0.2544593010871137,0.0011377700088357479,40
2025-06-30,-0.022125103103866752,0.14421596439549572,-0.30478839331903834,0.2605381871113049,0.0006190010999947981,40
2025-09-30,-0.02057059187613743,0.14385405917745242,-0.30252454786394417,0.26138336411166935,0.0005378140014224986,40
2025-12-31,-0.020338322360659834,0.14391391239957227,-0.3024095906638215,0.2617329459425018,0.000525306650304258,40
