date,actual_inflation,model_forecast,naive_forecast,model_error,naive_error
1998-06-30,1.5833085441197214,1.702879649776061,1.4826793214697487,-0.11957110565633955,0.10062922264997276
1998-09-30,1.5964501135180627,1.8453191274346974,1.5833085441197214,-0.24886901391663474,0.013141569398341213
1998-12-31,1.525740097731772,1.8246992753512168,1.5964501135180627,-0.2989591776194447,-0.07071001578629055
1999-03-31,1.6872427983539051,1.7685935747567554,1.525740097731772,-0.08135077640285027,0.161502700622133
1999-06-30,2.112585759261313,1.9514981004899217,1.6872427983539051,0.16108765877139142,0.425342960907408
1999-09-30,2.3463197156808078,2.377973608760103,2.112585759261313,-0.03165389307929534,0.23373395641949468
1999-12-31,2.6197635342648296,2.6128169302726674,2.3463197156808078,0.006946603992162181,0.2734438185840218
2000-03-31,3.257688294692914,2.9145487155503225,2.6197635342648296,0.3431395791425915,0.6379247604280844
2000-06-30,3.29377788429183,3.5528322241125636,3.257688294692914,-0.25905433982073367,0.03608958959891595
2000-09-30,3.4690208756786856,3.6040030159860854,3.29377788429183,-0.13498214030739986,0.17524299138685562
2000-12-31,3.4435088887033207,3.759973810515607,3.4690208756786856,-0.31646492181228636,-0.02551198697536483
2001-03-31,3.4110242888877838,3.7498667916609247,3.4435088887033207,-0.338842502773141,-0.032484599815536974
2001-06-30,3.325100304470478,3.6455561095345463,3.4110242888877838,-0.32045580506406823,-0.08592398441730564
2001-09-30,2.678376859083668,3.5232527443866624,3.325100304470478,-0.8448758853029945,-0.6467234453868103
2001-12-31,1.8752331260311284,2.7910846988792684,2.678376859083668,-0.91585157284814,-0.8031437330525395
2002-03-31,1.2317084729315624,1.8581287978495915,1.8752331260311284,-0.6264203249180291,-0.643524653099566
2002-06-30,1.3180144852859972,1.1744060033505654,1.2317084729315624,0.14360848193543174,0.0863060123544348
2002-09-30,1.576360012077882,1.2347090059024612,1.3180144852859972,0.34165100617542077,0.2583455267918848
2002-12-31,2.2536062429198,1.513657621434968,1.576360012077882,0.7399486214848319,0.6772462308419178
2003-03-31,2.9762446289777866,2.1644154643674876,2.2536062429198,0.8118291646102991,0.7226383860579868
2003-06-30,2.006016987171836,2.884351787380386,2.9762446289777866,-0.8783348002085498,-0.9702276418059506
2003-09-30,2.2166468738735956,1.8676104321491458,2.006016987171836,0.3490364417244498,0.21062988670175953
2003-12-31,2.0018402602853147,2.0791690263424583,2.2166468738735956,-0.07732876605714356,-0.2148066135882809
2004-03-31,1.8182720844726645,1.924157701523021,2.0018402602853147,-0.10588561705035637,-0.18356817581265017
2004-06-30,2.7860008993731236,1.7675110210101168,1.8182720844726645,1.0184898783630068,0.967728814900459
2004-09-30,2.675389628735969,2.7496589203785606,2.7860008993731236,-0.07426929164259155,-0.11061127063715448
2004-12-31,3.384951229497483,2.6719789088413455,2.675389628735969,0.7129723206561374,0.7095616007615138
2005-03-31,3.0349137886791717,3.374829651765351,3.384951229497483,-0.3399158630861794,-0.3500374408183111
2005-06-30,2.924035982051199,3.0538841277273043,3.0349137886791717,-0.12984814567610536,-0.11087780662797275
2005-09-30,3.818642734175293,2.9822285585581123,2.924035982051199,0.8364141756171808,0.8946067521240941
2005-12-31,3.6757348188830137,3.8926002918317093,3.818642734175293,-0.21686547294869563,-0.14290791529227942
2006-03-31,3.6916536531380166,3.750935478060613,3.6757348188830137,-0.05928182492259637,0.015918834255002956
2006-06-30,3.9242776239420594,3.811022266933444,3.6916536531380166,0.11325535700861522,0.23262397080404273
2006-09-30,3.3477698577253583,4.059658518746512,3.9242776239420594,-0.7118886610211539,-0.5765077662167011
2006-12-31,1.9663363141878702,3.488530248217411,3.3477698577253583,-1.5221939340295407,-1.381433543537488
2007-03-31,2.431407752138126,2.1568586216519456,1.9663363141878702,0.27454913048618046,0.46507143795025585
2007-06-30,2.6651918733250644,2.6046205346367364,2.431407752138126,0.06057133868832798,0.23378412118693825
2007-09-30,2.3497218317923174,2.8352130423152184,2.6651918733250644,-0.485491210522901,-0.31547004153274694
2007-12-31,4.030926361559224,2.489839905199809,2.3497218317923174,1.5410864563594155,1.681204529766907
2008-03-31,4.137519491970795,4.128195504898823,4.030926361559224,0.009323987071971906,0.10659313041157059
2008-06-30,4.30938030168689,4.195105598995245,4.137519491970795,0.11427470269164441,0.17186080971609474
2008-09-30,5.252949705189717,4.301285900133791,4.30938030168689,0.9516638050559267,0.9435694035028277
2008-12-31,1.6029157860064462,5.10645095787228,5.252949705189717,-3.503535171865834,-3.6500339191832714
2009-03-31,-0.18386721533766673,1.331658265326477,1.6029157860064462,-1.5155254806641438,-1.786783001344113
2009-06-30,-0.9404201794809312,-0.7429061285955572,-0.18386721533766673,-0.197514050885374,-0.7565529641432645
2009-09-30,-1.606846477658504,-1.7118424223142634,-0.9404201794809312,0.10499594465575934,-0.6664262981775729
2009-12-31,1.5015806678263186,-2.4289238574112293,-1.606846477658504,3.9305045252375477,3.1084271454848227
2010-03-31,2.352873062057078,0.8437365185911103,1.5015806678263186,1.5091365434659676,0.8512923942307593
2010-06-30,1.7772934252725452,1.7779839422522392,2.352873062057078,-0.0006905169796940225,-0.5755796367845327
2010-09-30,1.2030894224088466,1.249163648982925,1.7772934252725452,-0.046074226574078336,-0.5742040028636985
2010-12-31,1.2296776492499124,0.714539321056729,1.2030894224088466,0.5151383281931834,0.026588226841065765
2011-03-31,2.1483077250634106,0.7591397173904655,1.2296776492499124,1.3891680076729451,0.9186300758134982
2011-06-30,3.346174825439803,1.7653083848968345,2.1483077250634106,1.5808664405429687,1.1978671003763925
2011-09-30,3.71583290017546,2.9678679776318724,3.346174825439803,0.7479649225435878,0.36965807473565704
2011-12-31,3.3452557278883894,3.3540041645147,3.71583290017546,-0.008748436626310419,-0.37057717228707077
